100,Ann Ben Sthen,annbensthen@gmail.com,23,UK,AMATEUR,5,2,1,9,3
101,George Beth Shon,George.shon@outlook.com,31,UK,SEMIPRO,2,6,5,5,2
102,Kaith Andy Clos,Kaith-clos@icloud.com,29,UK,AMATEUR,4,7,2,2,1
103,Rinon Bob Grov,Rinon.grov@zoho.com,25,US,SEMIPRO,1,1,5,7,4
104,Mark Do Leno,Mark.Leno@gmail.com,22,UK,PRO,5,7,4,2,4
105,Harry Fin Patrick,Harry.Patrick@outlook.com,32,UK,PRO,2,6,5,8,3
106,Vicy Joe Mathew,Vicy.Mathew@icloud.com,33,UK,AMATEUR,6,2,9,5,5
107,Monica Jon Loy,Monica.Loy@zoho.com,29,US,PRO,4,4,8,2,5
108,Susan Dos Mathew,Susan.Mathew@gmail.com,28,US,PRO,5,6,5,3,6
109,Andy Von Stov,Andy.Stov@outlook.com,22,US,PRO,6,2,9,6,3
110,Mary Los Francis,Mary.Francis@icloud.com,27,UK,SEMIPRO,7,9,6,6,4
111,Jomon Nik Vicy,Jomon.Vicy@zoho.com,22,UK,PRO,6,9,10,9,2
